,prices,car_names,cv,fuel,trasmission,date,location,type_seller,km,calender,etat
0,Prix : 32 000 DT,2015 Volkswagen Polo Sedan,5 CV,Essence,Manuelle,Hier 0:20,Ezzahra,professionnel,91000 Km,07-2015,Excellent
1,Prix : 140 000 DT,2012 Jaguar XF BVA,11 CV,Diesel,Automatique,Hier 0:20,Ezzahra,professionnel,148000 Km,10-2012,Excellent
2,Prix : 22 500 DT,2001 Audi TT,11 CV,Essence,Manuelle,Hier 0:20,Ezzahra,professionnel,1000 Km,02-2001,Excellent
3,Prix : 50 000 DT,2008 Mercedes C180 BVA Kit AMG Toit ouvrant,9 CV,Essence,Automatique,Hier 0:20,Ezzahra,professionnel,192000 Km,09-2008,Excellent
4,Prix : 30 000 DT,2005 Volkswagen Passat TDI BVA,8 CV,Diesel,Automatique,Hier 0:20,Ezzahra,professionnel,372000 Km,12-2005,Excellent
5,Prix : 38 500 DT,2017 Citroën C3 1ére main,4 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,75000 Km,12-2017,Excellent
6,Prix : 34 900 DT,2012 Citroën C5 Ehdi,6 CV,Diesel,Manuelle,26 Mars 2021,Ezzahra,professionnel,193000 Km,01-2012,Excellent
7,Prix : 38 900 DT,2008 BMW 316i E90 Toit ouvrant,7 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,171000 Km,04-2008,Excellent
8,Prix : 29 900 DT,2016 Hyundai Grand i10 BVA High Grade,5 CV,Essence,Manuelle,26 Mars 2021,Ariana Ville,professionnel,123000 Km,06-2016,Excellent
9,Prix : 49 500 DT,2014 Kia cerato bva Toit ouvrant camera de recule,8 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,98000 Km,04-2014,Excellent
10,Prix : 44 000 DT,2010 Volkswagen Tiguan TDI BVA 1ère main,9 CV,Diesel,Automatique,26 Mars 2021,Ezzahra,professionnel,179000 Km,07-2010,Excellent
11,Prix : 99 000 DT,2021 Haval H6 0Km,9 CV,Essence,Automatique,26 Mars 2021,Ezzahra,professionnel,3000 Km,02-2021,Excellent
12,Prix : 43 000 DT,2016 Toyota Yaris Sedan 1ére main,5 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,31000 Km,10-2016,Excellent
13,Prix : 39 000 DT,2016 Fiat 500 BVA Toit pano,4 CV,Essence,Automatique,26 Mars 2021,Ezzahra,professionnel,85000 Km,05-2016,Excellent
14,Prix : 52 500 DT,2014 Mazda 6 BVA TOIT OUVRANT,9 CV,Essence,Automatique,26 Mars 2021,Ariana Ville,professionnel,158000 Km,02-2014,Excellent
15,Prix : 42 900 DT,2018 Citroën C3 1ére main,4 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,73000 Km,11-2018,Excellent
16,Prix : 51 000 DT,Golf 7 TSI Bluemotion - BLEU - Toit Ouvrant,5 CV,Essence,Manuelle,26 Mars 2021,Tunis,particulier,121000 Km,2012,Excellent
17,Prix : 34 000 DT,Audi a3 sline 1.6 essence,6 CV,Essence,Manuelle,26 Mars 2021,Nabeul,particulier,245000 Km,06-2010,Très bon
18,Prix : 50 000 DT,2010 BMW X1 BVA,9 CV,Essence,Automatique,26 Mars 2021,Ezzahra,professionnel,141000 Km,08-2010,Excellent
19,Prix : 32 500 DT,2017 Hyundai Grand i10,5 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,72000 Km,11-2017,Excellent
20,Prix : 58 000 DT,2012 BMW 116i F20 Toit ouvrant,7 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,146000 Km,07-2012,Excellent
21,Prix : 21 000 DT,2008 Renault Megane Sedan,7 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,162000 Km,08-2008,Excellent
22,Prix : 60 000 DT,Captur toute neuve et toutes options,5 CV,Essence,Manuelle,26 Mars 2021,La Marsa,particulier,29500 Km,06-2019,Neuf
23,Prix : 45 000 DT,C3 PURETECH,4 CV,Essence,Manuelle,26 Mars 2021,La Soukra,particulier,128000 Km,03-2017,Excellent
24,Prix : 40 500 DT,2013 Mini Cooper,4 CV,Essence,Manuelle,25 Mars 2021,Ariana Ville,professionnel,127000 Km,01-2013,Excellent
25,Prix : 69 900 DT,2017 Mazda BT-50 1ère Main,9 CV,Diesel,Manuelle,25 Mars 2021,Ariana Ville,professionnel,129000 Km,06-2017,Excellent
26,Prix : 23 500 DT,2012 Chevrolet Spark,5 CV,Essence,Manuelle,24 Mars 2021,Ezzahra,professionnel,118000 Km,05-2012,Excellent
27,Prix : 68 000 DT,2012 Mercedes A180 BVM Toit pano,7 CV,Essence,Manuelle,24 Mars 2021,Ezzahra,professionnel,187000 Km,12-2012,Excellent
